review_id,rating,review
Ci9DQUlRQUNvZENodHljRjlvT25kRlVFbFBkRFJ0VDFGd1pEbEpVblJHVFZGaE0zYxAB,5,"Benar-benar hotel yg cocok utk staycation ataupun romantic getaway. Selain kenyamanan, kebersihan dan keramahan, brandingnya sangat lengkap. Mini bar nya pun berisi produk2 Sido Muncul. Ketika check in, ada jamu dan cold towel. Proses check in pun lancar. Kami datang terlalu pagi dan krn akan langsung jelajah Yogya, mereka update melalui WA ketika kamar ready. Koper kami pun sudah siap di kamar. Kami menginap di kamar Deluxe pun ada balkonnya. Dekat dgn manapun krn kami explore ke Taman Sari, Malioboro dan Kotabaru tanpa kena macet. Jika berlidah jawa seperti kami, cocok sekali dgn buffet breakfast nya. Tersedia semua macam rasa jenang, gudeg, jajanan pasar, ronde, dawet, dll selain menu standar seperti nasi, lauk pauk nusantara dan western pastries. Kolamnya juga terjaga dgn benar. Lifeguard selalu standby. Bisa pinjam swimming goggles and board.
Semoga suatu saat bisa ditambah drying rack di pojokan balkon (krn ada celah pojokan yg tertutup jd tidak mengganggu pemandangan) supaya bisa keringkan swimming suit.
Overall, sangat bagus dan semoga bisa nginap lagi di sini 🙏🏽❤️Jenis perjalananLiburanGrup perjalananPasanganKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah, Cocok untuk anak-anak"
Ci9DQUlRQUNvZENodHljRjlvT205VFRITnFhME5HUlhoRU4xWnRWamRKY0VkTVNtYxAB,5,"Pengalaman yang sangat menyenangkan untuk menginap di hotel ini. Area parkir cukup luas dan berada di basement gedung. Kamar cukup luas dan bersih. Hotel sangat bersih dan memiliki fasilitas yang cukup lengkap:
- Kolam renang anak (kedalaman 60 cm)
- Kolam renang dewasa (kedalaman 150 cm)
- Gym
- Playground anak yang sangat seru seperti di mall
- Lapangan tennis (sebaiknya booking in advance)
- Spa

Restoran Hotel Tentrem selalu menyediakan beragam pilihan makanan dan seluruhnya nikmat!

Untuk menikmati kolam renang, handuk disediakan di pinggir kolam dekat area gym. Terdapat 2 lifeguard yang bertugas di ujung kolam anak dan kolam dewasa. Kolam renang sangat bersih, petugas selalu sigap membersihkan dedaunan yang jatuh. Namun sayang area kamar ganti hanya berupa satu shower room dan satu toilet, dan campur untuk semua gender. Air shower nya juga tidak hangat.

Playground Anak wajib menggunakan kaos kaki anti slip, jika tidak bawa, dapat beli ke petugas dengan harga 30k/pasang. Area cukup luas dan lengkap. Terdapat 1 petugas di area playground.

Jika Anda ingin memakai lapangan tennis, sebaiknya booking jauh hari setelah Anda memesan kamar hotel, karena perlu bukti pemesanan kamar. Pemesanan lapangan tennis dapat dilakukan melalui whatsapp CS Gaharu Spa. Untuk menuju lapangan tennis dari hotel, dari arah lobby, Anda dapat pergi ke arah souvenir shop lalu belok kiri dan belok kanan menuju sebuah lorong ke arah main hall hotel tentrem, dari main hall, Anda dapat menggunakan lift satu lantai turun ke bawah menuju lobby main hall, Dari lobby main hall, Anda dapat pergi menuju area tennis di samping-belakang main hall. Agak susah, sebaiknya Anda minta diarahkan petugas hehe. Tidak disediakan raket dan bola, namun Anda dapat menyewa raket dengan biaya 250k/jam/raket dan membeli bola tennis seharga 250k/slop (dapat dibawa pulang). Area tennis boleh digunakan pengunjung hotel dengan batas maksimal tamu kamar 2 orang. Jika membawa lebih dari itu dikenakan biaya 200k/orang/jam. Lapangan semi outdoor dan cukup terawat dengan baik, namun saat saya datang terdapat banyak daun kering di pinggir lapangan yang sedang dibersihkan petugas.Jenis perjalananLiburanGrup perjalananKeluargaKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah, Pemandangan yang indah, Cocok untuk anak-anak"
Ci9DQUlRQUNvZENodHljRjlvT25oQ2NrMVJZbFpzU2pJM01sQTFRakJaVm1OUExWRRAB,3,"Kamar mandi bau pesing, operator jarang mau angkat telp. Kalau perlu apa2 susah setengah mati ga ada yg respon. Di telp berulang2 ga pernah ada yang mau angkat. Mau tambah slippers buat anak disuruh bayar 60k padahal slippers di pake juga di kamar doang. Ga pernah tinggal di hotel bintang 5 minta tambahan slippers aja disuruh bayar, memalukan kaya hotel susah aja. Dari Padma pindah ke Tentrem berasa beda banget service nya 👎👎👎Kamar: 3Layanan: 2Lokasi: 4"
Ci9DQUlRQUNvZENodHljRjlvT2t0aGJIZE1kRVZqVEU5VmFWVktNREpUVjI5aE5tYxAB,1,"Hotel mewah tapi kamar mandi ga ada air panas payah, maintenance & monitoring 👎👎👎 Mulai dari check in sampe pengalaman tinggal bermasalah, cukup sekali aja nyobain hotel ini, ga akan mau balik lagiKamar: 1Layanan: 1Lokasi: 1"
Ci9DQUlRQUNvZENodHljRjlvT2xFeFkxWkJTeTFxVEhremFGcFhPVGxCUW5KcVZGRRAB,5,"Terima kasih Hotel Tentrem atas pelayananya, terutama untuk acara meeting hari ini. Dibantu dengan mas Rehan dari tim Banquet yamg sangat sigap membantu kebutuhan event kami. Very Recommended 👍🏻Jenis perjalananBisnisKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah"
Ci9DQUlRQUNvZENodHljRjlvT2pOR1ZtUlJVVnB3TjJ0clZqZzVOV3R2TWxCV1MxRRAB,5,"Salah satu hotel terbaik dengan service terbaik juga. Pelayanan security dan bellboy nya very good..
Kamar besar dan super duper nyaman.
Welcome drink nya produkan sidomuncul, minibar gratis produkan sido muncul juga.
Breakfast terbilang enak dan cukup banyakkkk variasi nya..
Gym,jacuzzi air hangat & dingin, dan pool nya juaraaa.. pool nya besar dan cantik banget kalo malem, dan pool nya tutup sampe jam 8.
Semoga suatu saat bisa langganan nginep di tentrem 💕Kamar: 5Layanan: 5"
ChZDSUhNMG9nS0VMYjYwb21wd1otOFB3EAE,5,kids playgroundnya sangat besar dan lengkap... suasananya juga nyaman dan dingin... permainan lengkap dan up to date bahkan ada PS 5 juga... |terimakasih untuk pelayanan yang ramah dari Mba Chelsea dan Mba Berna..
ChdDSUhNMG9nS0VORzduWkxYOE9mTjl3RRAB,5,Sangat suka dengan permainan dan suasana di kids Playground nya tempatnya bersih boneka wangi dan empuk kakak chelsea juga ramah menjelaskan dengan detail apa yang saya tidak tau dan ketika anak saya bosan bisa membujuk agar tidak bosan
ChZDSUhNMG9nS0VQUHBtdFBXaG9YSk1nEAE,5,Sangat suka di kids Playground tempatnya nyaman bersih anak saya suka dan ada kegiatan bikin gelang juga di bantu oleh mbak chelsea yg sabar ngajarin masukin satu satu next kalau di Jogja bakal ke sini lagi...
Ci9DQUlRQUNvZENodHljRjlvT2t4QmNUY3hSRlUyTkhKRk9WVlpSMFptTkRKcWNHYxAB,5,"Kamarnya nyaman, servicenya bagus, mba sama masnya semuanya ramah. Gymnya sih yg paling kusuka dari hotel tentrem, alatnya lengkap banget. Sarapannya juga enak.Grup perjalananPasanganKamar: 5Layanan: 5Lokasi: 5Aktivitas di sekitarDeket tugu yogyaSorotan hotelMewah, Pemandangan yang indah, Romantis, Tenang, Cocok untuk anak-anak"
