review_id,rating,review
Ci9DQUlRQUNvZENodHljRjlvT21vdFpERXRkVVpIZG1ONFZVODVTWGgwVVVoU2FsRRAB,4,"Kamar cukup besar & bersih, namun perlu segera mengganti Room Amenities (bathrobe) yg usang.
Petugas hotel ramah & cepat saat kami minta tambahan layanan.
Citarasa breakfast cukup enak, namun utk sekelas hotel 5*, item/varian menu terbatas pilihannya.Jenis perjalananBisnisGrup perjalananTemanKamar: 4Layanan: 5Lokasi: 5Sorotan hotelTenang"
Ci9DQUlRQUNvZENodHljRjlvT21obFdYVlNSbkZ3Y0U5Uk9FRmhPVVJGYkhVMmVFRRAB,5,"Saya menginap di sana untuk 2 malam, lokasinya cukup strategis. Tempat parkir dan lobby-nya luas. Saya lupa tipe kamarnya tapi sangat besar seperti apartemen tipe studio. Ada kitchen dengan sink tapi tanpa kompor, lemari baju 6 pintu (berfungsi sebagai partisi antara area dapur/kamar mandi) dengan area tempat tidur), meja makan, dan kamar mandi yang luas.

Bed nyaman, terang karena jendelanya banyak, AC dingin, pemandangan ke arah samping ada kolam renang. Cukup besar juga kolamnya.

Breakfast cukup banyak variasi, rasanya juga lumayan. Pelayanan baik dan ramah.Jenis perjalananLiburanGrup perjalananKeluargaKamar: 5Layanan: 5Lokasi: 5Sorotan hotelHarga terbaik"
Ci9DQUlRQUNvZENodHljRjlvT25wT1R6a3lUbmxwV0RZdGVFdzVjbFZTTkZoSFFsRRAB,1,"Gym mulai jam 6 pagi, tidak bisa dibuka lebih awal by request. Sangat tidak fleksibel untuk kelas hotel bintang..

Kaca kamar mandi dipasang sunblast tapi masih nerawang.  Ada tirai, tapi kok anehnya dimatikan.. kalo ga ngegas ke FO,  malah udah dibilang sengaja dimatikan.. aneh..Jenis perjalananBisnisGrup perjalananTemanKamar: 1Layanan: 1Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT25SSmMxbGlVbGM1Y1haaFl6UldXa1ZPYUZOc1ZGRRAB,5,"Menginap di Grand Mercure benar-benar pengalaman yang menyenangkan. Dari saat check-in, staf sangat ramah dan profesional, membuat suasana terasa hangat dan menyambut. Kamar bersih, luas, dan nyaman dengan fasilitas lengkap, termasuk tempat tidur yang empuk dan kamar mandi modern. Sarapan sangat beragam dengan pilihan menu lokal dan internasional yang lezat. Area kolam renang bersih dan tenang, cocok untuk bersantai. Lokasinya strategis, dekat pusat kota dan mudah dijangkau. Secara keseluruhan, pelayanan, kenyamanan, dan kualitas fasilitas benar-benar sebanding dengan harga. Sangat direkomendasikan untuk liburan keluarga maupun perjalanan bisnis. Pasti akan kembali lagi!Kamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT21KTlJHeGpSbVp4VUZCR05UTkxOV2hLVjFNMGMzYxAB,5,"Menginap di Grand Mercure Yogyakarta terasa nyaman dan menyenangkan. Kamarnya bersih, luas, dan fasilitasnya lengkap. Staf hotelnya ramah dan sangat membantu dari check-in sampai check-out. Sarapannya juga enak, pilihan menunya banyak dan tempatnya nyaman. Lokasi hotel strategis, dekat ke beberapa tempat makan dan pusat kota, jadi gampang kalau mau jalan-jalan. Kolam renangnya bersih dan suasananya tenang buat rileks. Secara keseluruhan, pengalaman menginap di sini memuaskan dan worth it. Pasti jadi pilihan kalau ke Yogyakarta lagiJenis perjalananLiburanGrup perjalananPasanganKamar: 5Layanan: 5Lokasi: 5Sorotan hotelMewah, Pemandangan yang indah, Romantis, Tenang, Cocok untuk anak-anak, Harga terbaik, Berteknologi tinggi"
Ci9DQUlRQUNvZENodHljRjlvT2sxck16Tm5ZWE4xVVZSb2FERnhkalZQU2tSSkxWRRAB,5,"Kamar besar, bersih dan sangat nyaman, breakfast sangat memuaskan, menu western maupun tradisional lengkap. Paling mantab tempat nongki outdoor sambil ngopi2. Thanks to Kak Meiriska atas pelayanan kepada rombongan kami, terbaik.Kamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT2tGYU1XcFFVMFZEWTJaeUxXTm5NMTlYVFhSNlNYYxAB,5,"Menginap selama satu malam di hotel ini. Memilih tipe kamar superior dengan double bed, perlengkapan yang ada di dalam ruang kamar berfungsi dengan baik, dan untuk amenities nya cukup lengkap, pendingin ruangan juga bekerja dengan baik, kebersihan ruang kamar termasuk area kamar mandi juga baik. Pelayanan ramah. Waktu tunggu proses check in dan check out cepat. Harga yang ditawarkan juga cukup kompetitif. Area parkir tersedia cukup luas.Jenis perjalananLiburanGrup perjalananPasanganKamar: 5Layanan: 5Lokasi: 5KamarKamar dalam kondisi bersih, semua perlengkapan berfungsi dengan baik, pendingin ruangan berfungsi dengan baik, kekedapan ruang baik.Aktivitas di sekitarKawasan Malioboro dapat ditempuh dengan menggunakan mobil kurang lebih 10 menit, juga dekat dengan stasiun tugu dan stasiun lempuyangan, yang juga dapat ditempuh kurang lebih 10 menit.KeamananTersedia tim pengamanan (security) 24 jam.Area untuk berjalan kakiDapat berjalan kaki kurang lebih 5-10 menit kebeberapa kawasan kuliner di area gejayan.Detail pentingPilihan kamar yang tidak menghadap ke jalan utama mungkin dapat lebih nyaman. Karena lokasi hotel ini terletak di jalan utama, yang sibuk sepanjang hari.Sorotan hotelTenang, Harga terbaik"
Ci9DQUlRQUNvZENodHljRjlvT25ORWRXbDVabTV2VUU0NVVreDRkbTF2VDJzNFJuYxAB,5,"Pengalaman menginap di Grand Mercure sungguh memuaskan. Begitu tiba, suasana hotel terasa mewah namun tetap nyaman. Proses check-in cepat, dan staf sangat membantu. Kamar tertata rapi, bersih, dan memiliki aroma yang menyegarkan. Fasilitasnya lengkap mulai dari gym, spa, hingga kolam renang yang nyaman untuk bersantai. Sarapan juga sangat memanjakan, dengan banyak pilihanKamar: 5Layanan: 5Lokasi: 5"
ChZDSUhNMG9nS0VMYlAzcGVlcnItaU9REAE,5,"Hotel memiliki fasilitas yang memuaskan, lokasi strategis, dengan design khas jogja membuat kami nyaman menginap di hotel. Selain itu ada juga pengalaman anak saya yang ketinggalan bantal, namun service dari hotel sangat memuaskan dengan langsung mengkonfirmasi bantal yang tertinggal agar bisa langsung diambil oleh kami"
Ci9DQUlRQUNvZENodHljRjlvT2tablRGRTJXbkp0TWt4dlMycDVTMVJwWjJGVGFIYxAB,5,"untuk AC kamar nomor 976 dingin sekali tidak bisa di setting, makanan enak2 dan banyak variasi, lokasinya juga strategis, dekat dengan bandara dan stasiun yogyaKamar: 4Layanan: 5Lokasi: 5"
